5/5/2015 9:56:37 AM,Initialize
5/5/2015 9:56:38 AM,Init UI Refs
5/5/2015 9:56:40 AM,Broadcast Settings
5/5/2015 9:56:40 AM,Update Status
5/5/2015 9:57:05 AM,Set Metadata
5/5/2015 9:57:09 AM,Start
5/5/2015 9:57:09 AM,Update Status
5/5/2015 9:57:09 AM,Save Data
5/5/2015 9:57:09 AM,Update Status
5/5/2015 9:57:13 AM,Update Status
5/5/2015 9:57:27 AM,Update Status
5/5/2015 9:57:28 AM,Update Status
5/5/2015 9:57:45 AM,Update Status
5/5/2015 9:57:49 AM,Update Status
5/5/2015 9:57:49 AM,Acquisition Stopped
5/5/2015 9:57:49 AM,Update Status
5/5/2015 9:57:49 AM,Exit
5/5/2015 10:03:30 AM,Initialize
5/5/2015 10:03:30 AM,Init UI Refs
5/5/2015 10:03:30 AM,Broadcast Settings
5/5/2015 10:03:30 AM,Update Status
5/5/2015 10:04:00 AM,Set Metadata
5/5/2015 10:04:13 AM,Set Metadata
5/5/2015 10:04:13 AM,Ignore Message
5/5/2015 10:04:15 AM,Exit
5/5/2015 10:11:13 AM,Initialize
5/5/2015 10:11:13 AM,Init UI Refs
5/5/2015 10:11:13 AM,Broadcast Settings
5/5/2015 10:11:13 AM,Update Status
5/5/2015 10:11:40 AM,Set Metadata
5/5/2015 10:12:10 AM,Exit
5/5/2015 10:14:46 AM,Initialize
5/5/2015 10:14:46 AM,Init UI Refs
5/5/2015 10:14:46 AM,Broadcast Settings
5/5/2015 10:14:46 AM,Update Status
5/5/2015 10:14:56 AM,Set Metadata
5/5/2015 10:15:03 AM,Start
5/5/2015 10:15:03 AM,Update Status
5/5/2015 10:15:03 AM,Save Data
5/5/2015 10:15:04 AM,Update Status
5/5/2015 10:15:08 AM,Update Status
5/5/2015 10:15:21 AM,Update Status
5/5/2015 10:15:22 AM,Update Status
5/5/2015 10:15:39 AM,Update Status
5/5/2015 10:15:43 AM,Update Status
5/5/2015 10:15:43 AM,Acquisition Stopped
5/5/2015 10:15:43 AM,Update Status
5/5/2015 10:15:44 AM,Exit
5/5/2015 10:17:36 AM,Initialize
5/5/2015 10:17:36 AM,Init UI Refs
5/5/2015 10:17:36 AM,Broadcast Settings
5/5/2015 10:17:36 AM,Update Status
5/5/2015 10:17:44 AM,Set Metadata
5/5/2015 10:17:54 AM,Start
5/5/2015 10:17:54 AM,Update Status
5/5/2015 10:17:54 AM,Save Data
5/5/2015 10:17:54 AM,Update Status
5/5/2015 10:17:59 AM,Update Status
5/5/2015 10:18:12 AM,Update Status
5/5/2015 10:18:13 AM,Update Status
5/5/2015 10:18:30 AM,Update Status
5/5/2015 10:18:34 AM,Update Status
5/5/2015 10:18:34 AM,Acquisition Stopped
5/5/2015 10:18:34 AM,Update Status
5/5/2015 10:19:11 AM,
5/5/2015 10:19:21 AM,Initialize
5/5/2015 10:19:21 AM,Init UI Refs
5/5/2015 10:19:22 AM,Broadcast Settings
5/5/2015 10:19:22 AM,Update Status
5/5/2015 10:19:36 AM,Set Metadata
5/5/2015 10:19:46 AM,Exit
5/5/2015 10:22:23 AM,Initialize
5/5/2015 10:22:23 AM,Init UI Refs
5/5/2015 10:22:23 AM,Broadcast Settings
5/5/2015 10:22:24 AM,Update Status
5/5/2015 10:22:25 AM,Launch Settings Dialog
5/5/2015 10:22:32 AM,Broadcast Settings
5/5/2015 10:22:34 AM,Start
5/5/2015 10:22:34 AM,Update Status
5/5/2015 10:22:39 AM,Update Status
5/5/2015 10:22:52 AM,Update Status
5/5/2015 10:22:53 AM,Update Status
5/5/2015 10:23:10 AM,Update Status
5/5/2015 10:23:14 AM,Update Status
5/5/2015 10:23:14 AM,Acquisition Stopped
5/5/2015 10:23:37 AM,Exit
5/5/2015 10:26:14 AM,Initialize
